objectid,police.area.id,police.area.name,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
36,E23000036,Avon and Somerset Constabulary,356387,150272,-2.62627006,51.24993134,4784508677,667478.2422
26,E23000026,Bedfordshire Police,508276,242055,-0.42184001,52.06629944,1235426094,246521.2213
23,E23000023,Cambridgeshire Constabulary,536856,271834,0.006854,52.32754898,3395891919,529618.1587
6,E23000006,Cheshire Constabulary,368759,368676,-2.46926999,53.21422958,2342769958,461592.256
34,E23000034,City of London Police,532382,181358,-0.09351,51.51564026,2903926.48,9249.719854
13,E23000013,Cleveland Police,445425,522495,-1.29848003,54.59561157,597230605.4,256195.7226
2,E23000002,Cumbria Constabulary,341868,527389,-2.90217996,54.63825989,6822195399,987067.1687
18,E23000018,Derbyshire Constabulary,426752,353556,-1.60210001,53.07857895,2628793545,419131.2919
35,E23000035,Devon & Cornwall Police,249986,81319,-4.12166977,50.61222839,10275721827,2229855.743
39,E23000039,Dorset Police,375742,99796,-2.34556007,50.79719925,2652676307,605775.3281
8,E23000008,Durham Constabulary,410381,532242,-1.8405,54.68513107,2429018088,339193.0083
43,W15000004,Dyfed-Powys Police,290528,263540,-3.60532999,52.2591095,10974132961,1605859.59
28,E23000028,Essex Police,569523,210837,0.45554799,51.77053833,3677230145,1161271.578
37,E23000037,Gloucestershire Constabulary,389595,213465,-2.15234995,51.81970978,2653031416,533507.0533
5,E23000005,Greater Manchester Police,377940,401102,-2.33406997,53.50614929,1275981134,248705.5769
41,W15000002,Gwent Police,331785,205411,-2.98939991,51.74322891,1553152307,313428.8273
30,E23000030,Hampshire Constabulary,445931,135667,-1.34512997,51.11845016,4149369054,933634.7255
27,E23000027,Hertfordshire Constabulary,518883,213642,-0.27699,51.8087883,1643064931,302891.5101
12,E23000012,Humberside Police,488051,443608,-0.66202998,53.88122177,3516101364,789854.6498
32,E23000032,Kent Police,590108,148050,0.71976799,51.20001984,3739595839,765175.687
3,E23000003,Lancashire Constabulary,363669,441026,-2.55392003,53.86418152,3076412676,795005.0429
21,E23000021,Leicestershire Police,466555,310191,-1.01686001,52.68534851,2550877917,342732.1205
20,E23000020,Lincolnshire Police,517985,358543,-0.23882,53.11104965,5937285889,726096.7782
4,E23000004,Merseyside Police,344324,390164,-2.83892989,53.40534973,646731745.8,280940.9416
1,E23000001,Metropolitan Police Service,517516,178392,-0.30864,51.49227142,1570605598,424522.3429
24,E23000024,Norfolk Constabulary,600546,312278,0.96466202,52.67110825,5381605318,962969.7179
40,W15000001,North Wales Police,282470,346124,-3.75274992,52.99951172,6172532409,1217951.749
9,E23000009,North Yorkshire Police,429509,466515,-1.55032003,54.09371185,8312199109,815031.3381
22,E23000022,Northamptonshire Police,477359,268708,-0.86668003,52.31105042,2366990162,380407.8316
7,E23000007,Northumbria Police,398898,602530,-2.01891994,55.31684113,5566180595,751325.435
19,E23000019,Nottinghamshire Police,466570,359496,-1.00655997,53.12850189,2159324661,328338.0694
42,W15000003,South Wales Police,291642,190822,-3.56609988,51.60578156,2082312268,540604.8689
11,E23000011,South Yorkshire Police,441052,398663,-1.38284004,53.48310852,1551563988,287864.0152
15,E23000015,Staffordshire Police,398243,334651,-2.02756,52.90930176,2716762876,438122.0804
25,E23000025,Suffolk Constabulary,608216,266122,1.04914796,52.2538681,3802344785,757293.4618
31,E23000031,Surrey Police,515966,153408,-0.33910999,51.26802826,1670072929,273588.1628
33,E23000033,Sussex Police,556566,117293,0.22679,50.93383026,3786348502,689890.8128
29,E23000029,Thames Valley Police,462576,202253,-1.09561002,51.71551895,5743410014,583810.8758
17,E23000017,Warwickshire Police,429584,253588,-1.56874001,52.17977142,1977522678,397570.2526
16,E23000016,West Mercia Police,366411,287999,-2.49608994,52.48886871,7407812562,813530.687
14,E23000014,West Midlands Police,402507,289715,-1.96448004,52.50534058,901639657.6,256429.9455
10,E23000010,West Yorkshire Police,418686,427238,-1.71817005,53.74119949,2029258660,282889.6057
38,E23000038,Wiltshire Police,405209,158863,-1.92660999,51.32883072,3485431493,387017.0351
